Time,energy
2020-03-01 00:00:00,20
2020-03-01 01:00:00,40
2020-03-01 02:00:00,70
2020-03-01 03:00:00,620
2020-03-01 04:00:00,1430
2020-03-01 05:00:00,1680
2020-03-01 06:00:00,1710
2020-03-01 07:00:00,2160
2020-03-01 08:00:00,2070
2020-03-01 09:00:00,1870
2020-03-01 10:00:00,2500
2020-03-01 11:00:00,1843.57
2020-03-01 12:00:00,850
2020-03-01 13:00:00,830
2020-03-01 14:00:00,1924.65
2020-03-01 15:00:00,769
2020-03-01 16:00:00,812
2020-03-01 17:00:00,860
2020-03-01 18:00:00,856
2020-03-01 19:00:00,791
2020-03-01 20:00:00,776
2020-03-01 21:00:00,797
2020-03-01 22:00:00,835
2020-03-01 23:00:00,853
2020-03-02 00:00:00,863
2020-03-02 01:00:00,823
2020-03-02 02:00:00,847
2020-03-02 03:00:00,857
2020-03-02 04:00:00,835
2020-03-02 05:00:00,830
2020-03-02 06:00:00,752
2020-03-02 07:00:00,631
2020-03-02 08:00:00,833
2020-03-02 09:00:00,621
2020-03-02 10:00:00,729
2020-03-02 11:00:00,805
2020-03-02 12:00:00,763
2020-03-02 13:00:00,699
2020-03-02 14:00:00,916
2020-03-02 15:00:00,735.65
2020-03-02 16:00:00,1444.7
2020-03-02 17:00:00,2733.75
2020-03-02 18:00:00,3472.42
2020-03-02 19:00:00,1687
2020-03-02 20:00:00,1695.02
2020-03-02 21:00:00,3650
2020-03-02 22:00:00,2890
2020-03-02 23:00:00,3560
2020-03-03 00:00:00,4380
2020-03-03 01:00:00,955.56
2020-03-03 02:00:00,708
2020-03-03 03:00:00,965.27
2020-03-03 04:00:00,1644.32
2020-03-03 05:00:00,2480
2020-03-03 06:00:00,1560
2020-03-03 07:00:00,1610
2020-03-03 08:00:00,2000
2020-03-03 09:00:00,2840
2020-03-03 10:00:00,4380
2020-03-03 11:00:00,2430
2020-03-03 12:00:00,1330
2020-03-03 13:00:00,1250
2020-03-03 14:00:00,450
2020-03-03 15:00:00,300
2020-03-03 16:00:00,400
2020-03-03 17:00:00,980
2020-03-03 18:00:00,1090
2020-03-03 19:00:00,1020
2020-03-03 20:00:00,2390
2020-03-03 21:00:00,2350
2020-03-03 22:00:00,2110
2020-03-03 23:00:00,2000
2020-03-04 00:00:00,2000
2020-03-04 01:00:00,3910
2020-03-04 02:00:00,3630
2020-03-04 03:00:00,3521.3
2020-03-04 04:00:00,1731
2020-03-04 05:00:00,2733.24
2020-03-04 06:00:00,915.72
2020-03-04 07:00:00,779
2020-03-04 08:00:00,956.79
2020-03-04 09:00:00,862
2020-03-04 10:00:00,807
2020-03-04 11:00:00,569
2020-03-04 12:00:00,261
2020-03-04 13:00:00,87
2020-03-04 14:00:00,653
2020-03-04 15:00:00,861
2020-03-04 16:00:00,1296
2020-03-04 17:00:00,1042
2020-03-04 18:00:00,1606
2020-03-04 19:00:00,2846
2020-03-04 20:00:00,3420
2020-03-04 21:00:00,3921.02
2020-03-04 22:00:00,4041.08
2020-03-04 23:00:00,4490
2020-03-05 00:00:00,1674.55
2020-03-05 01:00:00,4531
2020-03-05 02:00:00,3410
2020-03-05 03:00:00,3440
2020-03-05 04:00:00,4080
2020-03-05 05:00:00,2720
2020-03-05 06:00:00,1720
2020-03-05 07:00:00,970
2020-03-05 08:00:00,660
2020-03-05 09:00:00,1660
2020-03-05 10:00:00,3420
2020-03-05 11:00:00,4410
2020-03-05 12:00:00,966.2
2020-03-05 13:00:00,838
2020-03-05 14:00:00,755
2020-03-05 15:00:00,995.8
2020-03-05 16:00:00,1394.41
2020-03-05 17:00:00,3442.28
2020-03-05 18:00:00,2283.93
2020-03-05 19:00:00,1774
2020-03-05 20:00:00,1853.57
2020-03-05 21:00:00,4540
2020-03-05 22:00:00,4100
2020-03-05 23:00:00,4151.01
2020-03-06 00:00:00,3200
2020-03-06 01:00:00,2230
2020-03-06 02:00:00,1764.25
2020-03-06 03:00:00,495
2020-03-06 04:00:00,1285.12
2020-03-06 05:00:00,587.33
2020-03-06 06:00:00,80.04
2020-03-06 07:00:00,788
2020-03-06 08:00:00,3062.12
2020-03-06 09:00:00,945.22
2020-03-06 10:00:00,4630
2020-03-06 11:00:00,5490
2020-03-06 12:00:00,7.55
2020-03-06 13:00:00,8.33
2020-03-06 14:00:00,8.3
2020-03-06 15:00:00,9.53
2020-03-06 16:00:00,9.05
2020-03-06 17:00:00,10.19
2020-03-06 18:00:00,9.08
2020-03-06 19:00:00,2853.19
2020-03-06 20:00:00,3700
2020-03-06 21:00:00,2670
2020-03-06 22:00:00,1780
2020-03-06 23:00:00,1230
2020-03-07 00:00:00,2610
2020-03-07 01:00:00,4360
2020-03-07 02:00:00,3330
2020-03-07 03:00:00,2610
2020-03-07 04:00:00,2130
2020-03-07 05:00:00,1920
2020-03-07 06:00:00,1530
2020-03-07 07:00:00,1740
2020-03-07 08:00:00,2060
2020-03-07 09:00:00,1540
2020-03-07 10:00:00,480
2020-03-07 11:00:00,580
2020-03-07 12:00:00,620
2020-03-07 13:00:00,700
2020-03-07 14:00:00,1810
2020-03-07 15:00:00,1750
2020-03-07 16:00:00,2540
2020-03-07 17:00:00,1700
2020-03-07 18:00:00,320
2020-03-07 19:00:00,1580
2020-03-07 20:00:00,2420
2020-03-07 21:00:00,2150
2020-03-07 22:00:00,2730
2020-03-07 23:00:00,2840
2020-03-08 00:00:00,2200
2020-03-08 01:00:00,820
2020-03-08 02:00:00,1300
2020-03-08 03:00:00,910
2020-03-08 04:00:00,920
2020-03-08 05:00:00,950
2020-03-08 06:00:00,870
2020-03-08 07:00:00,410
2020-03-08 08:00:00,1190
