Date,energy
2018-03-31,124896.4
2018-04-30,905969.64
2018-05-31,707788.62
2018-06-30,952508.66
2018-07-31,1017179.02
2018-08-31,1041524.03
2018-09-30,921457.3
2018-10-31,738223.63
2018-11-30,851349.0599999999
2018-12-31,473194.23
2019-01-31,591932.29
2019-02-28,239906.07
2019-03-31,797274.68
2019-04-30,901672.67
2019-05-31,984334.25
2019-06-30,1023326.61
2019-07-31,1016086.7
2019-08-31,1035480.52
2019-09-30,1188179.45
2019-10-31,965978.97
2019-11-30,1015385.9500000001
2019-12-31,774888.1900000001
2020-01-31,639034.69
2020-02-29,547607.99
2020-03-31,591796.49
2020-04-30,674692.92
2020-05-31,1060144.24
2020-06-30,732590.94
2020-07-31,1165813.94
2020-08-31,922575.87
2020-09-30,750814.95
2020-10-31,1064305.43
2020-11-30,770701.14
2020-12-31,501986.72000000003
2021-01-31,613270.61
2021-02-28,527634.42
2021-03-31,647756.6799999999
2021-04-30,1003099.58
2021-05-31,1190393.78
2021-06-30,673412.92
2021-07-31,1074515.82
2021-08-31,909920.29
2021-09-30,770882.8
2021-10-31,1014105.9
